2021/12/24 17:25:29.227  # of PCs: 15/# of Routers:10
2021/12/24 17:25:29.231  Time,Protocol,TranID, fromID, toID, minBW(Mbps), reqDuration(ms), reqHops, req_avg_receive_buffersize, req_max_receive_buffersize, req_avg_queue_size, req_max_queue_size, reqSize(byte), resDuraiton(ms), resHop, res_avg_receive_buffersize, res_max_receive_buffersize, res_avg_queue_size, res_max_queue_size, resSize(byte), result(Hit/TTL/Drop)
2021/12/24 17:28:32.032  ,HTTP_GET,p8-1640334389039,p8,r2,10,177,3,157580.8571,551532,8.2857,18,2000,181,3,349486.9853,1080254, 8.0882,23, 71680,Hit
2021/12/24 17:28:34.472  ,HTTP_GET,p4-1640334424893,p4,r2,10,88987,2,481119.4,1191987,7.6,19,2000,22,2,9.6471,40, 1.9294,4, 66560,Hit
2021/12/24 17:28:35.705  ,HTTP_POST,p0-1640334424893,p0,r2,100,1640334525555,2,0.0,0,0.0,0,12582912,1640334525555,2,0.0,0, 0.3333,1, 1024,Hit
2021/12/24 17:28:37.082  ,HTTP_POST,p4-1640334389093,p4,r2,10,44569,3,191620.6123,576747,9.6664,18,17825792,1640334558875,3,275897.25,1103589, 7.25,25, 1024,Hit
2021/12/24 17:28:37.212  ,HTTP_POST,p0-1640334388125,p0,r2,10,30583,3,931.805,6218,5.9998,18,17825792,1640334545094,3,275925.5,1103702, 6.5,25, 1024,Hit
2021/12/24 17:28:39.344  ,HTTP_POST,p4-1640334426899,p4,r2,10,1640334540654,2,0.0,0,0.0,0,13631488,1640334540655,2,0.0,0, 1.3333,4, 1024,Hit
2021/12/24 17:28:39.879  ,HTTP_GET,p6-1640334391092,p6,r2,10,281,3,0.0,0,0.0,0,2000,293,3,0.1136,1, 0.6545,2, 116736,Hit
2021/12/24 17:28:46.295  ,HTTP_POST,p7-1640334428876,p7,r2,10,1640334531714,2,0.0,0,0.0,0,6291456,1640334531714,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:28:46.945  ,HTTP_POST,p0-1640334428904,p0,r2,100,107891,2,613817.0613,1231812,8.9994,18,12582912,1640334536795,2,0.0,0, 0.3333,1, 1024,Hit
2021/12/24 17:28:47.085  ,HTTP_GET,p5-1640334429887,p5,r2,100,96992,2,494038.8,1233302,7.2,18,2000,34,2,21.9135,89, 1.9676,4, 146432,Hit
2021/12/24 17:28:48.204  ,HTTP_POST,p6-1640334429982,p6,r2,10,1640334539930,2,0.0,0,0.0,0,13631488,1640334539930,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:28:49.221  ,HTTP_GET,p8-1640334392047,p8,r2,10,1532,3,177011.7143,608777,8.8571,20,2000,156,3,371376.686,1152239, 9.0248,26, 62464,Hit
2021/12/24 17:28:49.675  ,HTTP_GET,p8-1640334431891,p8,r2,10,97843,2,502961.8,1257404,7.2,18,2000,65,2,9.3976,39, 0.9639,2, 65536,Hit
2021/12/24 17:28:50.667  ,HTTP_GET,p1-1640334431992,p1,r2,10,98065,2,510776.6,1269152,7.2,18,2000,31,2,22.385,91, 0.492,1, 148480,Hit
2021/12/24 17:28:50.940  ,HTTP_GET,p3-1640334432994,p3,r2,100,97957,2,506877.8,1267194,7.2,18,2000,17,2,9.1481,38, 1.9259,4, 63488,Hit
2021/12/24 17:28:51.658  ,HTTP_POST,p0-1640334391192,p0,r2,10,16409,3,0.0,0,0.0,0,10485760,1640334548066,3,0.0,0, 1.0,1, 1024,Hit
2021/12/24 17:28:55.979  ,HTTP_POST,p7-1640334433889,p7,r2,10,113816,2,639902.0214,1287249,8.9984,18,13631488,1640334547705,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:28:57.018  ,HTTP_GET,p12-1640334384064,p12,r2,100,50803,2,273020.2,682551,10.4,13,2000,32,2,634092.9317,1292305, 9.323,19, 126976,Hit
2021/12/24 17:28:59.127  ,HTTP_POST,p2-1640334434902,p2,r2,100,115046,2,652713.434,1307309,9.4994,19,12582912,1640334549951,2,0.0,0, 0.3333,1, 1024,Hit
2021/12/24 17:29:03.920  ,HTTP_GET,p0-1640334436001,p0,r2,100,1640334543935,2,0.0,0,0.0,0,2000,21,2,13.6612,57, 0.4876,1, 95232,Hit
2021/12/24 17:29:09.834  ,HTTP_POST,p10-1640334436900,p10,r2,10,1640334571142,2,0.0,0,0.0,0,13631488,1640334571142,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:29:10.566  ,HTTP_POST,p9-1640334437909,p9,r2,10,1640334565319,2,0.0,0,0.0,0,9437184,1640334565320,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:29:15.630  ,HTTP_GET,p14-1640334385985,p14,r2,100,20,2,0.0,0,0.0,0,2000,27,2,0.0,0, 0.0,0, 92160,Hit
